time,Cache:adminBytes,Cache:avgBatchCACHEMODE,Cache:avgBatchCRITICAL,Cache:avgBatchDAEMON,Cache:avgBatchEVICTORTHREAD,Cache:avgBatchMANUAL,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:nBINsEvictedCACHEMODE,Cache:nBINsEvictedCRITICAL,Cache:nBINsEvictedDAEMON,Cache:nBINsEvictedEVICTORTHREAD,Cache:nBINsEvictedMANUAL,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsStripped,Cache:nBatchesCACHEMODE,Cache:nBatchesCRITICAL,Cache:nBatchesDAEMON,Cache:nBatchesEVICTORTHREAD,Cache:nBatchesMANUAL,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nEvictPasses,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesScanned,Cache:nNodesSelected,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsEvictedCACHEMODE,Cache:nUpperINsEvictedCRITICAL,Cache:nUpperINsEvictedDAEMON,Cache:nUpperINsEvictedEVICTORTHREAD,Cache:nUpperINsEvictedMANUAL,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:requiredEvictBytes,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lnSizeCorrectionFactor,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerProbeRuns,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Concurrent GC.count,Jvm:G1 Concurrent GC.time,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2024-02-12T13:11:11Z,161,0,0,0,0,0,5798524,1467,2652635,0,0,0,0,0,0,13145,0,0,0,0,0,0,0,137,5,0,70,1,5,6127,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1707742871284,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,80257752,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12178,0,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-12T13:12:11Z,161,0,0,0,0,0,6003108,1467,2857219,0,0,0,0,0,0,12810,0,0,0,0,0,0,0,149,5,0,75,1,5,6154,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1707742871284,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,365993576,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12084,0,714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-12T13:13:11Z,161,0,0,0,0,0,6204820,1467,3058931,0,0,0,0,0,0,12572,0,0,0,0,0,0,0,162,5,0,80,1,5,6134,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1707742871284,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,156910616,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11889,0,670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-12T13:14:11Z,161,0,0,0,0,0,6297164,1467,3151275,0,0,0,0,0,0,12615,0,0,0,0,0,0,0,168,5,0,83,1,5,6869,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1707742871284,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,309051072,5,0,0,0,0,0,0,0,0,0,0,1,0,3,0,250,0,10,0,500,0,0,0,0,0,0,0,0,0,0,11966,0,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-12T13:15:11Z,161,0,0,0,0,0,6461076,1467,3315187,0,0,0,0,0,0,11536,0,0,0,0,0,0,0,174,5,0,87,1,5,5423,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1707742871284,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,317105992,4,0,0,0,0,0,0,0,0,0,0,2,0,1,0,100,0,4,0,200,0,0,0,0,0,0,0,0,0,0,10711,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-12T13:16:11Z,161,0,0,0,0,0,6667028,1467,3521139,0,0,0,0,0,0,12930,0,0,0,0,0,0,0,185,5,0,93,1,5,6645,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1707742871284,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,76234176,3,0,0,0,0,0,0,0,0,0,0,2,0,3,0,200,0,8,0,400,0,0,0,0,0,0,0,0,0,0,11882,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-12T13:17:11Z,161,0,0,0,0,0,6842972,1467,3697083,0,0,0,0,0,0,14435,0,0,0,0,0,0,0,196,5,0,97,1,5,8433,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1707742871284,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,159742440,3,0,0,0,0,0,0,0,0,0,0,2,0,2,0,100,0,4,0,200,0,0,0,0,0,0,0,0,0,0,13624,0,778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-12T13:18:11Z,161,0,0,0,0,0,6961972,1467,3816083,0,0,0,0,0,0,12803,0,0,0,0,0,0,0,202,5,0,99,1,5,7552,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1707742871284,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,94611080,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12386,0,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-12T13:19:11Z,161,0,0,0,0,0,7087900,1467,3942011,0,0,0,0,0,0,13461,0,0,0,0,0,0,0,207,5,0,103,1,5,7867,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1707742871284,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,281454728,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,2,0,100,0,0,0,0,0,0,0,0,0,0,12902,0,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-12T13:20:11Z,161,0,0,0,0,0,7200908,1467,4055019,0,0,0,0,0,0,14520,0,0,0,0,0,0,0,212,5,0,107,1,5,8652,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1707742871284,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,230142280,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14067,0,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
