URL,Size(Byte),Number of outlinks found,Content-type
https://www.latimes.com/california/story/2024-02-08/forecasts-for-southern-california-are-finally-rain-free-after-days-of-drenching-weather-and-a-possible-tornado,350195,252,text/html
https://www.latimes.com/california/story/2024-02-09/suspect-in-custody-following-shooting-on-uc-berkeley-campus-no-victims-police-say,322401,221,text/html
https://www.latimes.com/california/story/2024-02-11/shooting-in-whittier,316383,216,text/html
https://www.latimes.com/california/story/2021-01-12/explaining-la,859531,417,text/html
https://www.latimes.com/california/story/2024-02-09/climate-change-pushes-l-a-city-from-extreme-heat-to-extreme-rainfall,380857,226,text/html
https://www.latimes.com/california/story/2024-02-08/just-in-time-for-2024-elections-usc-opens-a-major-public-policy-center-in-washington,331702,218,text/html
https://www.latimes.com/california/story/2024-02-08/new-senate-bill-to-prohibit-homeless-encampments-near-schools-open-spaces-and-transit-stops,343082,230,text/html
https://www.latimes.com/people/erika-d-smith,286458,210,text/html
https://www.latimes.com/california/newsletter/2024-02-10/how-to-celebrate-super-bowl-sunday-essential-california,341206,258,text/html
https://www.latimes.com/california/story/2024-02-10/redondo-beach-mayor-dead-at-65-of-lung-cancer,328861,217,text/html
https://www.latimes.com/lifestyle/story/2024-01-31/tour-adus-in-person-in-self-guided-tour-through-los-angeles,311195,225,text/html
https://www.latimes.com/lifestyle/story/2023-11-20/building-home-on-a-steep-hill-and-constrained-lot-in-los-angeles,414972,226,text/html
https://www.latimes.com/lifestyle/story/2023-08-11/sunday-funday-in-los-angeles-with-queer-eyes-bobby-berk,355071,239,text/html
https://www.latimes.com/lifestyle/story/2023-11-02/adu-rental-helps-actors-move-from-starter-home,421395,246,text/html
https://www.latimes.com/entertainment-arts/story/2023-05-23/modernist-designer-paul-mccobb-is-having-a-moment-now-you-can-tour-a-house-full-of-his-work,394403,234,text/html
https://www.latimes.com/lifestyle/story/2024-01-09/how-la-homeowners-financed-designed-built-adus-california-housing-crisis,458975,262,text/html
https://www.latimes.com/lifestyle/story/2023-09-18/multigeneration-living-courtesy-of-prefab-adu-la,430904,248,text/html
https://www.latimes.com/lifestyle/list/la-is-home-to-tvs-most-iconic-houses-this-curbside-tour-leads-the-way,468863,238,text/html
https://www.latimes.com/lifestyle/story/2023-05-15/los-angeles-garage-conversion-adu-in-larchmont-village,418427,238,text/html
https://www.latimes.com/lifestyle/story/2023-11-21/venice-adu-built-on-an-an-infill-driveway-on-a-tight-multi-family-lot,412138,240,text/html
https://www.latimes.com/lifestyle/list/midcentury-modern-home-tours-modernism-week-in-palm-springs,465698,240,text/html
https://www.latimes.com/lifestyle/story/2023-06-29/historic-kesling-house-in-hollywood-gets-a-modern-prefab-adu,359269,230,text/html
https://www.latimes.com/lifestyle/story/2023-05-22/architects-restore-midcentury-richard-neutra-home,368498,222,text/html
https://www.latimes.com/lifestyle/list/landmark-homes-you-can-tour-in-la,483892,263,text/html
https://www.latimes.com/lifestyle/list/midcentury-modern-furniture-stores-los-angeles,552873,262,text/html
https://www.latimes.com/california/story/2024-01-18/despite-california-exodus-the-well-off-and-well-educated-still-flock-here,358419,231,text/html
https://www.latimes.com/lifestyle/story/2023-09-06/spanish-bungalow-in-los-angeles-gets-a-remodel-and-adu,453360,250,text/html
https://www.latimes.com/archives/la-xpm-2006-apr-09-me-garvey9-story.html,292441,195,text/html
https://www.latimes.com/california/story/2023-10-12/california-republicans-hoping-steve-garvey-is-in-a-league-of-his-own,354706,224,text/html
https://www.latimes.com/politics/story/2023-10-10/dodgers-star-steve-garvey-senate-race-feinstein-schiff-porter-lee,371311,231,text/html
https://www.latimes.com/archives/la-xpm-2000-sep-06-fi-16120-story.html,308642,212,text/html
https://www.latimes.com/california/story/2024-01-14/steve-garvey-is-banking-on-his-dodgers-and-padres-fame-to-boost-his-republican-senate-run,381630,236,text/html
https://www.latimes.com/people/adam-elmahrek,284046,207,text/html
https://www.latimes.com/archives/la-xpm-1989-09-24-tm-88-story.html,388453,212,text/html
https://www.latimes.com/people/nathan-fenno,282539,207,text/html
https://www.latimes.com/archives/la-xpm-1989-02-24-me-115-story.html,327707,212,text/html
https://www.latimes.com/opinion/letters-to-the-editor/story/2024-02-05/generous-steve-garvey-i-knew-wasnt-the-one-portrayed-in-the-l-a-times,326083,216,text/html
https://www.latimes.com/politics/story/2024-01-12/schiff-leads-porter-garvey-lee-senate-primary-poll,366097,232,text/html
https://www.latimes.com/opinion/story/2024-01-14/meet-the-candidates-us-senate-primary,323614,204,text/html
https://www.latimes.com/opinion/story/2024-01-24/steve-garvey-california-senate-race-2024-election,342811,229,text/html
https://www.latimes.com/entertainment-arts/music/story/2022-02-11/roc-nation-super-bowl-2022-halftime-show-nfl,389860,241,text/html
https://www.latimes.com/entertainment-arts/story/2024-02-10/travis-taylor-super-bowl-the-pre-pre-gaming-begins,375105,237,text/html
https://www.latimes.com/entertainment-arts/music/story/2023-03-31/reba-mcentire-drag-law-tennessee-hollywood-bowl,380388,242,text/html
https://www.latimes.com/people/mikael-wood,284268,210,text/html
https://www.latimes.com/business/story/2024-02-02/stock-market-today-big-tech-carries-wall-street-to-another-record-and-winning-week,344349,224,text/html
https://www.latimes.com/entertainment-arts/tv/story/2024-01-18/dana-carvey-breaks-silence-dex-death-fly-on-the-wall-podcast-return,358759,235,text/html
https://www.latimes.com/entertainment-arts/story/2024-01-04/katt-williams-cedric-the-entertainer-joke-theft,345113,239,text/html
https://www.latimes.com/entertainment-arts/story/2024-01-19/mike-lawrence-comedy-seminar-ice-house-stand-up-advice,347309,226,text/html
https://www.latimes.com/entertainment-arts/tv/story/2023-12-27/tiffany-haddish-beverly-hills-jail-comedy-set-therapy-boundaries-work,376161,237,text/html
https://www.latimes.com/entertainment-arts/story/2024-01-05/kevin-hart-katt-williams-club-shay-shay-chat-tiffany-haddish-ludacris,348147,236,text/html
https://www.latimes.com/entertainment-arts/story/2024-01-11/jo-koy-grades-himself-on-golden-globes-prepares-for-kia-forum,342218,210,text/html
https://www.latimes.com/opinion/story/2024-01-03/nikki-haley-civil-war-slavery-race-ricky-gervais,352472,227,text/html
https://www.latimes.com/entertainment-arts/story/2022-08-03/los-angeles-comedy-issue-landing-page,412929,239,text/html
https://www.latimes.com/entertainment-arts/story/2024-01-16/lewis-black-final-stand-up-comedy-tour,354686,223,text/html
https://www.latimes.com/entertainment-arts/story/2024-01-24/the-mind-blowing-comedy-of-jacqueline-novak-explodes-in-debut-special-get-on-your-knees,344891,222,text/html
https://www.latimes.com/delos/story/2024-02-10/yuri-euforia-tour-inglewood-youtube-theater,346941,210,text/html
https://www.latimes.com/world-nation/newsletter/2021-03-25/immigration-border-crisis-or-not-latinx-files,335600,226,text/html
https://www.latimes.com/people/fidel-martinez,308350,209,text/html
https://www.latimes.com/shortdocs/about-l-a-times-short-docs,328581,205,text/html
https://www.latimes.com/about/shortdocs/breach-of-trust-123,309976,207,text/html
https://www.latimes.com/about/short-docs/innocence-123,259460,189,text/html
https://www.latimes.com/about/short-docs/after-skid-row-123,261768,189,text/html
https://www.latimes.com/about/shortdocs/the-chemical-factory-123,307568,204,text/html
https://www.latimes.com/about/shortdocs/the-picture-taking-experiment-123,309130,204,text/html
https://www.latimes.com/about/shortdocs/nice-to-meet-you-all-123,308009,204,text/html
